,Element ID,Centroid Z,Normal Factor
0,601,9520.846266345014,-1
1,602,9516.212968769669,-1
2,603,9511.579670515885,-1
3,604,9506.946371602791,-1
4,605,9502.313072048802,-1
5,606,8562.53879903504,-1
6,607,8548.638906309005,-1
7,608,8534.739011547657,-1
8,609,8520.839114808374,-1
9,610,8506.939216146402,-1
10,611,7604.231331725066,-1
11,612,7581.064843848341,-1
12,613,7557.898352579429,-1
13,614,7534.731858013959,-1
14,615,7511.565360244004,-1
15,616,6645.923864415093,-1
16,617,6613.490781387679,-1
17,618,6581.057693611201,-1
18,619,6548.624601219545,-1
19,620,6516.191504341605,-1
20,621,5687.61639710512,-1
21,622,5645.9167189270165,-1
22,623,5604.217034642973,-1
23,624,5562.517344425128,-1
24,625,5520.817648439206,-1
25,626,4729.308929795147,-1
26,627,4678.342656466356,-1
27,628,4627.376375674747,-1
28,629,4576.410087630711,-1
29,630,4525.443792536809,-1
30,631,3718.978035558661,-1
31,632,3670.3287385486997,-1
32,633,3621.679460425636,-1
33,634,3573.03020196097,-1
34,635,3524.380963968795,-1
35,636,2656.4128825419016,-1
36,637,2621.6633846776413,-1
37,638,2586.913900304026,-1
38,639,2552.1644299721197,-1
39,640,2517.414974263426,-1
40,641,1593.8477295251396,-1
41,642,1572.998030806584,-1
42,643,1552.1483401824146,-1
43,644,1531.2986579832723,-1
44,645,1510.4489845580536,-1
45,646,531.2825765083797,-1
46,647,524.3326769355281,-1
47,648,517.3827800608044,-1
48,649,510.4328859944231,-1
49,650,503.4829948526846,-1
50,651,9523.166666666642,-1
51,652,9523.16666666664,-1
52,653,9523.166666666644,-1
53,654,9523.166666666642,-1
54,655,9523.166666666644,-1
55,656,8569.499999999927,-1
56,657,8569.499999999927,-1
57,658,8569.499999999929,-1
58,659,8569.499999999929,-1
59,660,8569.499999999927,-1
60,661,7615.833333333213,-1
61,662,7615.833333333212,-1
62,663,7615.833333333212,-1
63,664,7615.833333333213,-1
64,665,7615.833333333214,-1
65,666,6662.166666666497,-1
66,667,6662.166666666496,-1
67,668,6662.166666666497,-1
68,669,6662.166666666498,-1
69,670,6662.1666666665005,-1
70,671,5708.499999999783,-1
71,672,5708.499999999783,-1
72,673,5708.499999999783,-1
73,674,5708.499999999784,-1
74,675,5708.499999999784,-1
75,676,4754.8333333330675,-1
76,677,4754.833333333067,-1
77,678,4754.833333333069,-1
78,679,4754.833333333069,-1
79,680,4754.83333333307,-1
80,681,3743.2499999997453,-1
81,682,3743.2499999997467,-1
