,Element ID,Centroid Z,Normal Factor
0,8117,4499.423724245237,1
1,8118,3499.427682001068,1
2,8119,2499.4315857654456,1
3,8120,1499.435436635665,1
4,8121,499.4392356795733,1
5,8122,4499.423724245234,1
6,8123,3499.4276820010778,1
7,8124,2499.4315857654333,1
8,8125,1499.435436635679,1
9,8126,499.43923567956335,1
10,8127,4499.423724245226,1
11,8128,3499.4276820010705,1
12,8129,2499.431585765446,1
13,8130,1499.4354366356672,1
14,8131,499.43923567957324,1
15,8132,4499.423724245232,1
16,8133,3499.427682001077,1
17,8134,2499.4315857654365,1
18,8135,1499.4354366356793,1
19,8136,499.4392356795684,1
20,8137,4499.423724245227,1
21,8138,3499.4276820010823,1
22,8139,2499.4315857654406,1
23,8140,1499.4354366356793,1
24,8141,499.4392356795586,1
25,8142,4499.423724245232,1
26,8143,3499.4276820010705,1
27,8144,2499.431585765446,1
28,8145,1499.4354366356597,1
29,8146,499.43923567958063,1
30,8147,4499.423724245236,1
31,8148,3499.427682001068,1
32,8149,2499.431585765433,1
33,8150,1499.4354366356793,1
34,8151,499.4392356795659,1
35,8152,4499.423724245229,1
36,8153,3499.42768200108,1
37,8154,2499.4315857654456,1
38,8155,1499.435436635667,1
39,8156,499.43923567956836,1
40,8157,4499.423724245241,1
41,8158,3499.4276820010577,1
42,8159,2499.4315857654487,1
43,8160,1499.4354366356692,1
44,8161,499.43923567956836,1
45,8162,4499.423724245233,1
46,8163,3499.4276820010787,1
47,8164,2499.4315857654337,1
48,8165,1499.4354366356765,1
49,8166,499.43923567957074,1
50,8167,4499.42372424523,1
51,8168,3499.4276820010728,1
52,8169,2499.431585765448,1
53,8170,1499.4354366356765,1
54,8171,499.4392356795586,1
55,8172,4499.42372424523,1
56,8173,3499.427682001081,1
57,8174,2499.4315857654387,1
58,8175,1499.4354366356667,1
59,8176,499.43923567957324,1
60,8177,4501.994733542998,1
61,8178,3502.0436520382445,1
62,8179,2502.0950301908797,1
63,8180,1502.149058295002,1
64,8181,502.20594679407856,1
65,8182,4501.994733542998,1
66,8183,3502.043652038238,1
67,8184,2502.095030190889,1
68,8185,1502.149058295004,1
69,8186,502.20594679407617,1
70,8187,4501.994733542992,1
71,8188,3502.043652038251,1
72,8189,2502.09503019088,1
73,8190,1502.1490582950044,1
74,8191,502.20594679407867,1
75,8192,5500.000000000001,1
76,8193,6499.999999999999,1
77,8194,7500.000000000003,1
78,8195,8499.999999999998,1
79,8196,9500.0,1
80,8197,5500.0,1
81,8198,6500.0,1
82,8199,7500.000000000002,1
83,8200,8499.999999999996,1
84,8201,9500.000000000005,1
85,8202,5499.999999999997,1
86,8203,6500.000000000005,1
87,8204,7499.999999999993,1
88,8205,8500.000000000005,1
89,8206,9500.000000000002,1
90,8207,5500.0,1
91,8208,6499.999999999997,1
92,8209,7500.000000000009,1
93,8210,8499.999999999995,1
94,8211,9500.0,1
95,8212,5500.0,1
96,8213,6499.999999999996,1
97,8214,7500.000000000002,1
98,8215,8500.000000000005,1
99,8216,9500.000000000002,1
100,8217,5500.000000000001,1
101,8218,6500.000000000004,1
102,8219,7500.0,1
103,8220,8500.000000000002,1
104,8221,9499.999999999998,1
105,8222,5500.000000000001,1
106,8223,6500.000000000004,1
107,8224,7500.000000000003,1
108,8225,8500.000000000002,1
109,8226,9500.000000000002,1
110,8227,5499.999999999996,1
111,8228,6500.000000000004,1
112,8229,7499.999999999998,1
113,8230,8500.000000000004,1
114,8231,9500.000000000007,1
115,8232,5499.999999999999,1
116,8233,6500.000000000001,1
117,8234,7500.000000000002,1
118,8235,8500.000000000002,1
